ax,ay,az,gx,gy,gz,toe,heel
-1.8622,-0.0102,0.8125,-49.77,255.15,-59.22,9,10
-0.8706,0.0044,0.8882,-77.56,185.36,-50.54,11,14
-1.3034,-0.0405,2.1818,80.64,79.1,-62.16,14,20
-0.3353,0.5026,2.1682,40.18,-21.91,-65.03,16,14
-0.2499,0.8325,1.7631,63.35,-143.78,12.11,17,15
-0.4621,0.4304,1.2176,89.53,-212.03,72.31,19,9
-0.8062,0.4524,1.1175,68.18,-251.65,58.66,12,14
-0.9335,0.3919,1.0028,95.97,-312.62,73.99,14,10
-1.1014,0.5544,1.1634,84.7,-312.55,112.7,17,9
-1.6899,0.5983,1.2625,81.34,-325.92,219.31,12,7
-2.3243,-0.3753,0.629,76.16,-265.72,179.9,6,9
-2.8241,-0.793,-0.8355,44.87,-159.46,20.3,10,14
-2.0755,0.3099,-1.2376,14.98,10.22,48.79,6,6
-1.4811,1.0619,-0.0332,18.48,159.74,15.4,13,11
-6.6231,-0.4207,2.6489,-182,74.27,-84.28,7,1006
-1.3932,-0.0786,0.4753,-78.4,8.54,-27.16,288,650
-0.7027,0.1581,0.8316,-17.99,5.39,-13.23,529,296
-0.5065,0.0678,0.9614,4.34,45.22,-2.31,676,14
-0.103,0.2118,1.503,7.14,157.99,-2.73,738,11
-0.3982,0.2908,0.8862,-39.62,290.08,-52.99,636,11
-1.383,-0.0459,0.6788,-76.79,307.16,-63.63,119,15
-1.5035,0.1771,0.7208,-21.77,274.89,-57.89,10,15
-1.1595,0.0542,0.8252,-11.2,200.69,-53.2,16,15
-0.652,0.1181,1.9837,21.84,136.15,-50.33,21,19
-0.486,0.4807,2.2097,44.66,34.51,-64.19,16,18
-0.0854,0.5314,1.7129,37.94,-68.74,-4.13,15,19
-0.6486,0.4104,1.4982,121.52,-161.84,55.93,16,10
-0.5705,0.1801,1.0946,99.82,-234.22,42.07,11,10
-0.8047,0.1362,1.0609,125.65,-301.28,36.05,16,15
-0.9862,0.1908,1.1527,148.96,-309.75,59.22,8,12
-1.5055,0.3235,1.383,147,-350.42,147,13,5
-1.8237,-0.5856,1.0097,110.67,-318.85,213.71,11,7
-2.5762,-0.73,0.0249,78.68,-239.12,107.94,5,10
-2.4293,-0.6773,-1.728,-13.72,-55.23,-3.92,13,12
-2.643,-1.6011,-2.9378,-108.78,176.89,-52.01,11,271
-3.2833,2.0706,1.6402,115.71,272.44,-161.42,14,1003
-0.0547,-1.7753,1.0287,-240.45,77.56,-49.91,16,873
-0.6773,-0.185,0.774,-53.83,25.69,-21.84,396,455
-0.6002,0.0239,1.1512,-15.26,39.83,-6.79,605,34
-0.4963,0.2904,1.098,-6.79,104.44,-1.96,727,18
-0.0908,0.6793,1.1932,-24.57,234.43,-35,722,3
-0.754,0.2377,0.7637,-52.92,293.93,-60.55,416,7
-1.5426,-0.0732,0.692,-34.16,286.93,-60.83,32,14
-1.6773,0.2269,0.8023,-35.07,207.9,-71.19,16,14
-0.9648,-0.2879,0.8423,-38.43,180.18,-52.57,18,23
-0.5305,0.5158,1.7744,67.69,90.44,-67.27,20,15
-0.5436,0.7422,2.0989,95.9,19.81,-38.29,15,22
-0.1937,0.325,1.6124,70.77,-72.45,39.48,20,15
-0.6529,0.2499,1.3742,164.08,-212.45,94.99,7,9
-0.9194,-0.222,1.1863,154.28,-273.42,55.44,9,13
-0.8018,-0.0786,1.0985,180.81,-311.22,60.41,14,17
-1.1824,-0.1976,1.4938,172.76,-320.04,94.22,13,10
-1.628,-0.2611,1.2756,106.47,-348.81,146.72,14,8
-2.3385,-0.6891,0.6139,77.21,-274.4,119,11,11
-2.6201,-0.9048,-0.6583,31.71,-146.02,14,20,7
-1.7056,-0.7862,-0.8115,81.55,23.03,2.24,11,7
-1.9291,-2.4668,-3.0895,-177.45,228.62,-148.89,3,479
-2.9314,1.6392,0.9028,-104.44,97.65,-67.97,7,991
-1.4396,-0.8208,0.9701,205.52,33.04,-54.88,44,754
-0.69,0.0991,0.8438,4.34,15.54,-18.2,320,393
-0.5954,-0.0434,0.9496,-3.15,33.32,-3.36,495,28
-0.3372,0.1903,1.2351,11.55,109.2,-4.06,625,10
-0.1391,0.2538,0.9072,-27.51,238.84,-32.48,636,9
-0.5007,0.2181,1.0375,-29.54,316.68,-58.66,344,14
-1.0882,0.0659,0.6725,-25.69,311.08,-41.3,19,12
-1.4347,0.0717,0.6617,-20.16,287.35,-49.21,14,24
-1.0316,-0.1713,0.6905,17.5,230.79,-27.86,7,21
-0.7257,0.2294,1.6387,92.96,156.38,-22.54,9,17
-0.7569,0.8194,1.9881,80.36,9.45,-65.45,12,20
-0.5134,0.2259,1.7304,56.07,-90.09,-23.59,6,17
-0.7671,0.3445,1.3303,135.73,-203.21,42.07,7,13
-0.3079,0.0512,0.833,137.34,-283.43,42.7,4,16
-0.8086,-0.06,1.0209,154.35,-307.37,27.23,8,15
-0.9355,0.1337,1.1673,182.7,-329.35,53.55,11,15
-1.4996,0.4168,1.4128,162.96,-351.05,117.04,7,6
-1.8178,-0.4387,0.9018,117.95,-322.14,201.88,1,7
-2.5337,-0.712,-0.0317,73.5,-224,138.67,9,5
-2.5771,-0.7359,-1.3532,13.51,-10.08,13.37,4,10
-2.8504,-1.7612,-3.0261,-179.83,216.65,-92.05,5,330
-5.1474,1.6255,1.323,-2.03,135.94,-153.3,6,902
-1.1039,-1.4118,0.5305,209.23,28.07,-53.9,119,668
-0.7081,-0.1083,0.7491,-17.01,3.78,-19.11,414,339
-0.5812,0.1386,0.9565,-13.3,22.19,-7.77,583,26
-0.4119,0.6544,1.3415,-19.32,112.35,-9.03,727,18
-0.1879,0.3065,1.24,-3.64,254.24,-39.69,728,11
-0.6222,0.2001,0.8111,-56.56,331.24,-61.95,415,20
-1.1819,-0.163,0.6749,-59.85,321.3,-47.74,23,16
-1.6875,-0.124,0.6256,-57.47,285.46,-50.61,11,18
-1.2566,-0.2435,0.7891,-26.46,186.06,-28.91,12,19
-0.855,-0.3733,1.7685,12.25,145.81,-31.01,15,22
